100,0,1,2,3,4,DETECTION,PREDICTION
1601,4,1,2,0,0,16,16
1602,4,2,1,0,0,16,16
1603,4,1,2,0,0,16,16
1604,4,2,2,0,0,16,16
1605,4,1,2,1,0,20,16
1606,4,2,2,1,0,20,16
1607,4,1,2,2,0,20,16
1608,4,1,2,1,1,20,16
1609,4,0,2,2,0,16,20
1610,4,0,2,1,1,20,16
1611,4,0,2,2,0,16,20
1612,4,0,2,1,1,20,20
1613,4,0,2,2,0,16,20
1614,4,0,2,1,1,20,20
1615,4,0,2,2,0,16,20
1616,4,0,2,2,1,20,20
1617,4,0,2,3,0,16,20
1618,4,0,2,3,1,20,20
1619,4,0,2,4,0,16,20
1620,4,0,1,4,1,20,20
1621,4,0,2,3,0,16,20
1622,4,0,1,3,1,20,20
1623,4,0,2,2,0,16,20
1624,4,0,1,2,1,20,20
1625,4,0,2,1,0,16,20
1626,4,0,1,1,1,20,20
1627,4,0,2,0,0,16,20
1628,4,0,1,0,1,16,16
1629,4,0,2,0,0,16,20
1630,4,0,1,0,1,16,16
1631,4,0,2,0,0,16,16
1632,4,0,1,0,1,16,16
1633,4,0,2,0,0,16,16
1634,4,0,1,0,1,16,16
1635,4,0,2,0,0,16,16
1636,4,0,2,0,1,16,16
1637,4,0,2,1,0,16,16
1638,4,0,2,1,1,20,16
1639,4,0,2,2,0,16,16
1640,4,1,2,1,0,20,16
1641,4,1,2,2,0,20,20
1642,4,2,2,1,0,20,16
1643,4,1,2,2,0,20,20
1644,4,2,2,1,0,20,16
1645,4,1,2,2,0,20,20
1646,4,2,2,1,0,20,16
1647,4,1,2,2,0,20,20
1648,4,2,2,2,0,20,16
1649,4,1,2,3,0,20,20
1650,4,2,2,3,0,20,16
1651,4,1,2,4,0,20,20
1652,4,2,1,4,0,20,16
1653,4,1,2,3,0,20,20
1654,4,2,1,3,0,20,16
1655,4,1,2,2,0,20,20
1656,4,1,1,2,1,20,16
1657,4,0,2,1,0,16,20
1658,4,0,1,1,1,20,16
1659,4,0,2,0,0,16,20
1660,4,0,1,0,1,16,20
1661,4,0,2,0,0,16,20
1662,4,0,1,0,1,16,16
1663,4,0,2,0,0,16,16
1664,4,0,1,0,1,16,16
1665,4,0,2,0,0,16,16
1666,4,0,1,0,1,16,16
1667,4,0,2,0,0,16,16
1668,4,0,2,0,1,16,16
1669,4,0,2,1,0,16,16
1670,4,0,2,1,1,20,16
1671,4,0,2,2,0,16,16
1672,4,0,2,1,1,20,20
1673,4,0,2,2,0,16,20
1674,4,0,2,1,1,20,20
1675,4,0,2,2,0,16,20
1676,4,0,2,1,1,20,16
1677,4,0,2,2,0,16,20
1678,4,0,2,1,1,20,16
1679,4,0,2,2,0,16,20
1680,4,0,2,2,1,20,16
1681,4,0,2,3,0,16,20
1682,4,0,2,3,1,20,16
1683,4,0,2,4,0,16,20
1684,4,0,1,4,1,20,16
1685,4,0,2,3,0,16,20
1686,4,0,1,3,1,20,16
1687,4,0,2,2,0,16,20
1688,4,1,1,2,0,20,16
1689,4,1,2,1,0,20,20
1690,4,2,1,1,0,20,16
1691,4,1,2,0,0,16,20
1692,4,2,1,0,0,16,16
1693,4,1,2,0,0,16,20
1694,4,2,1,0,0,16,16
1695,4,1,2,0,0,16,16
1696,4,2,1,0,0,16,16
1697,4,1,2,0,0,16,16
1698,4,2,1,0,0,16,16
1699,4,1,2,0,0,16,16
1700,4,2,2,0,0,16,16
1701,4,1,2,1,0,20,16
1702,4,2,2,1,0,20,16
1703,4,1,2,2,0,20,16
1704,4,1,2,1,1,20,16
1705,4,0,2,2,0,16,20
1706,4,0,2,1,1,20,16
1707,4,0,2,2,0,16,20
1708,4,0,2,1,1,20,20
1709,4,0,2,2,0,16,20
1710,4,0,2,1,1,20,20
1711,4,0,2,2,0,16,20
1712,4,0,2,2,1,20,20
1713,4,0,2,3,0,16,20
1714,4,0,2,3,1,20,20
1715,4,0,2,4,0,16,20
1716,4,0,1,4,1,20,20
1717,4,0,2,3,0,16,20
1718,4,0,1,3,1,20,20
1719,4,0,2,2,0,16,20
1720,4,0,1,2,1,20,20
1721,4,0,2,1,0,16,20
1722,4,0,1,1,1,20,20
1723,4,0,2,0,0,16,20
1724,4,0,1,0,1,16,16
1725,4,0,2,0,0,16,20
1726,4,0,1,0,1,16,16
1727,4,0,2,0,0,16,16
1728,4,0,1,0,1,16,16
1729,4,0,2,0,0,16,16
1730,4,0,1,0,1,16,16
1731,4,0,2,0,0,16,16
1732,4,0,2,0,1,16,16
1733,4,0,2,1,0,16,16
1734,4,0,2,1,1,20,16
1735,4,0,2,2,0,16,16
1736,4,1,2,1,0,20,16
1737,4,1,2,2,0,20,20
1738,4,2,2,1,0,20,16
1739,4,1,2,2,0,20,20
1740,4,2,2,1,0,20,16
1741,4,1,2,2,0,20,20
1742,4,2,2,1,0,20,16
1743,4,1,2,2,0,20,20
1744,4,2,2,2,0,20,16
1745,4,1,2,3,0,20,20
1746,4,2,2,3,0,20,16
1747,4,1,2,4,0,20,20
1748,4,2,1,4,0,20,16
1749,4,1,2,3,0,20,20
1750,4,2,1,3,0,20,16
1751,4,1,2,2,0,20,20
1752,4,1,1,2,1,20,16
1753,4,0,2,1,0,16,20
1754,4,0,1,1,1,20,16
1755,4,0,2,0,0,16,20
1756,4,0,1,0,1,16,20
1757,4,0,2,0,0,16,20
1758,4,0,1,0,1,16,16
1759,4,0,2,0,0,16,16
1760,4,0,1,0,1,16,16
1761,4,0,2,0,0,16,16
1762,4,0,1,0,1,16,16
